Title,Abstract,True_LCSH,Predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
the many rides of paul revere,"paul revere is commonly remembered as a revolutionary war hero for his legendary midnight ride before the 1775 battes of lexington and concord but revere was also a famed silversmith, a practicing dentist, a resourceful entrepreneur, and an engraver of cartoons and paper money this biography traces revere's life from his humble beginnings as a french immigrant's son to his determined support of the rebel cause in the stormy years leading up to the american revolution",statesmen,"Revere, Paul, Silversmiths, Dentists, Entrepreneurs, American Revolution","Ténéré,McCartney, Paul,Silversmiths,Dentists,Entrepreneurship,Revolution, 1986",0.00,0.00,0.00,0.22,8.00
making rocky mountain national park : the environmental history of an american treasure,"""on september 4, 1915, hundreds of people gathered in estes park, colorado, to celebrate the creation of rocky mountain national park this new nature preserve held the promise of peace, solitude, and rapture that many city dwellers craved as jerry frank demonstrates, however, the park is much more than a lovely place rocky mountain national park was a keystone in broader efforts to create the national park service, and its history tells us a great deal about colorado, tourism, and ecology in the american west to frank, the tensions between tourism and ecology have played out across a natural stage that is anything but passive at nearly every turn the national park service found itself face-to-face with an environment that was difficult to anticipate--and impossible to control frank first takes readers back to the late nineteenth century, when colorado boosters--already touting the rocky mountains' restorative power for lung patients--set out to attract more tourists and generate revenue for the state he then describes how an ecological perspective came to rocky in fits and starts, offering a new way of imagining the park that did not sit comfortably with an entrenched management paradigm devoted to visitor recreation and comfort frank examines a wide range of popular activities including driving, hiking, skiing, fishing, and wildlife viewing to consider how they have impacted the park's flora and fauna, often leaving widespread transformation in their wake he subjects the decisions of park officials to close but evenhanded scrutiny, showing how in their zeal to return the park to what they understood as its natural state, they have tinkered with its features--sometimes with less than desirable results today's rocky mountain national park serves both competing visions, maintaining accessible roads and vistas for the convenience of tourists while guarding its backcountry to preserve ecological values as the park prepares to celebrate its centennial, frank's book advances our understanding of its past while also providing an important touchstone for addressing its problems in the present and future""-- provided by publisher ""challenging the view that national parks are sanctuaries separate from human-built society, frank's environmental history of colorado's iconic rocky mountain national park reveals how nature was constructed to accommodate consumerism yet still plays an unplanned role in visitors' experiences the reader learns not only what changes were made but also why they occurred, with much of the park's history understandable as a contest between tourism and ecology vying to impose their competing models""-- provided by publisher",tourism; nature,"National parks and reserves, Parks—Colorado—History, Environmental protection—Colorado—History, Tourism—Colorado—History, Rocky Mountain National Park (Colo.)","National parks and reserves,Historic parks,Environmental permits,Colorados Site,Rocky Mountain National Park (Colo.)",0.00,0.00,0.00,0.32,5.00
"the sacred headwaters : the fight to save the stikine, skeena, and nass","""in a rugged knot of mountains in northern british columbia lies a spectacular valley known to the first nations as the sacred headwaters there, three of canada's most important salmon rivers - the stikine, the skeena, and the nass - are born in close proximity now, against the wishes of all first nations, the british columbia government has opened the sacred headwaters to industrial development imperial metals proposes an open-pit copper and gold mine, called the red chris mine, and royal dutch shell wants to extract coal bed methane gas across a tenure of close to a million acres in the sacred headwaters, a collection of photographs by carr clifton and members of the international league of conservation photographers - including claudio contreras, paul colangelo, and wade davis - portray the splendour of the region these photographs are supplemented by images from other professionals who have worked here, including sarah leen of the national geographic the compelling text by wade davis, which describes the region's beauty, the threats to it, and the response of native groups and other inhabitants, is complemented by the voices of the tahltan elders the inescapable message is that no amount of methane gas can compensate for the sacrifice of a place that could be the sacred headwaters of all canadians and indeed of all peoples of the world""--pub desc",environmental protection; environmental protection; environmental protection; indians of north america,"Salmon fisheries, Environmental protection, Indigenous peoples, Conservation of natural resources, Environmental degradation, British Columbia","Salmon fisheries,Environmental protection,Indigenous peoples,Conservation of natural resources,Environmental degradation,British Columbia",0.50,0.17,0.63,0.57,6.00
"immigrant and entrepreneur : the atlantic world of caspar wistar, 1650-1750","""examines the life of 18th century german immigrant and businessman caspar wistar reevaluates the modern understanding of the entrepreneurial ideal and the immigrant experience in the colonial era""--provided by publisher",germans; immigrants; merchants; immigrants,"immigrants, entrepreneurs, colonial era","Immigrants,Entrepreneurship,Colonial influence",0.33,0.33,0.63,0.60,3.00
tools and treasures of the ancient maya,"""do you use a calendar? have you ever played basketball? these things were important to the ancient mayans too about four thousand years ago, they invented tools and treasures that still shape our lives find out where and how the mayans lived, and learn about their mysterious disappearance discover how they changed the world!""-- provided by publisher",mayas,"Maya civilization, Tools, Artifacts","Mayan,Tools,Alien artifacts",0.00,0.00,0.00,0.53,3.00
"slave revolution in the caribbean, 1789-1804 : a brief history with documents","this volume details the first slave rebellion to have a successful outcome, leading to the establishment of haiti as a free black republic and paving the way for the emancipation of slaves in the rest of the french empire and the world incited by the french revolution, the enslaved inhabitants of the french caribbean began a series of revolts, and in 1791 plantation workers in haiti, then known as saint-domingue, overwhelmed their planter owners and began to take control of the island they achieved emancipation in 1794, and after successfully opposing napoleonic forces eight years later, emerged as part of an independent nation in 1804 a broad selection of documents, all newly translated by the authors, is contextualized by a thorough introduction considering the very latest scholarship laurent dubois and john d garrigus clarify for students the complex political, economic, and racial issues surrounding the revolution and its reverberations worldwide useful pedagogical tools include maps, illustrations, a chronology, and a selected bibliography--publisher description",slave insurrections,"Haiti, Slave insurrections, Caribbean Area, Emancipation, Revolutions","Haiti,Slave rebellions,Caribbean Area,Emancipation,Revolutions",0.00,0.00,0.00,0.50,5.00
guerrillas : war and peace in central america,"three parallel wars were fought in the latter half of the 20th century in el salvador, guatemala and nicaragua these wars were long and brutal, dividing international opinion sharply between us support for dictatorial regimes and the ussr's sponsorship of guerilla fighters this book examines this topic",guerrillas,"Guerrilla warfare, Central America, Insurgency, United States - Foreign relations - Central America, Soviet Union - Foreign relations - Central America","Guerrilla warfare,Central America,Insurgency,National characteristics, Central American,Deportations from the Soviet Union",0.00,0.00,0.00,0.41,6.00
diana of the dunes : the true story of alice gray,"in the fall of 1915, alice gray traded her life in chicago for a solitary journey in the remote sand hills of northwest indiana along lake michigan her audacity so bewitched reporters and a curious public that she became a legend in her own time-- ""diana of the dunes""",women; women hermits,"Gray, Alice, Indiana, Northwest, Dunes","Gray,Alice Pit,Indiana,Northwest, Old,Sand dunes",0.00,0.00,0.00,0.23,6.00
"multiculturalism within a bilingual framework : language, race, and belonging in canada","""from the time of its inception in canada, multiculturalism has generated varied reactions, none more starkly than between french and english canadians in this groundbreaking new work, eve haque examines the government of canada's attempt to forge a national policy of unity based on 'multiculturalism within a bilingual framework, ' a formulation that emerged out of the royal commission on bilingualism and biculturalism (1963-70) uncovering how the policies of bilingualism and multiculturalism are inextricably linked, haque investigates the ways in which they operate together as part of our contemporary national narrative to favour the language and culture of canada's two 'founding nations' at the expense of other groups haque uses previously overlooked archival material, including transcripts of royal commission hearings, memos, and reports, to reveal the conflicts underlying the emergence of this ostensibly seamless policy by integrating two important areas of scholarly concern -- the evolution and articulation of language rights in canada, and the history of multiculturalism in the country, haque provides powerful insight into ongoing asymmetries between canada's various cultural and linguistic groups""--publisher's website",multiculturalism; bilingualism; language policy; language and culture,"Multiculturalism, Bilingualism, Language policy, Canada","Multiculturalism,Bilingualism,Language policy,Canada",0.75,0.75,1.00,0.82,4.00
the texas revolution and the us-mexican war : a concise history,"""this narrative history begins with the introduction of the empresario system in mexico in 1823, a system of land distribution to american farmers and ranchers in an attempt to strengthen the postwar economy following mexico's independence from spain once welcomed as fellow countrymen, the new settlers, homesteading on land destined to be called texas, were viewed as enemies when in 1835 they revolted against the government's harsh centralist rulings the final straw for both sides came when texas was granted us statehood and 11 american soldiers were ambushed and murdered as a result, congress declared war on mexico""-- provided by publisher","mexican war, 1846-1848","Texas Revolution, Mexican War, Empresario System, Land Distribution, American Settlers, Centralism, U.S. Statehood, Ambushes, Congress, Mexico","Operation Texas Traveler, 1969,Mexican War, 1846-1848,Interrogatories,Land degradation,Settler colonialism,Democratic centralism,Statehood (American politics),Ambushes and surprises,United States. Congress,Mexico",1.00,0.17,0.43,0.43,12.00
national geographic investigates ancient inca : archaeology unlocks the secrets of the inca's past,"""shows how ancient treasures help scientists today to piece together the puzzle of the inca's past includes inca pottery, textiles, and the mummy called the ice maiden""--from source other than the library of congress",incas; excavations (archaeology); excavations (archaeology),"Incas, Archaeology","Incas,Archaeology",0.50,0.50,1.00,0.94,2.00
latin american popular culture,"""designed as an introductory text, this book details several aspects of latin american culture as experienced by millions of people living in central and south america the author argues that despite early and considerable european influences on the region, indigenous latin american traditions still characterize much of the social and artistic heritage of the latin american countries""--provided by publisher","national characteristics, latin american","popular culture, Latin America, social life and customs","Popular culture,Latin America,Social life and customs",0.00,0.00,0.00,0.51,3.00
"maya pilgrimage to ritual landscape : insights from archaeology, history, and ethnography","""pilgrimage to ritually significant places is a part of daily life in the maya world these journeys involve important social and practical concerns, such as the maintenance of food sources and world order frequent pilgrimages to ceremonial hills to pay offerings to spiritual forces for good harvests, for instance, are just as necessary for farming as planting fields why has maya pilgrimage to ritual landscapes prevailed from the distant past and why are journeys to ritual landscapes important in maya religion? how can archaeologists recognize maya pilgrimage, and how does it compare to similar behavior at ritual landscapes around the world? the author addresses these questions and others through cross-cultural comparisons, archaeological data, and ethnographic insights ""-- provided by publisher",mayas; mayas; sacred space; sacred space; pilgrims and pilgrimages; pilgrims and pilgrimages,"Maya civilization, Pilgrims and pilgrimages, Religious aspects, Ritual, Landscape, Archaeology","Mayan,Pilgrims and pilgrimages,Religious aspects,Ritual,Landscape changes,Archaeology",0.33,0.17,0.36,0.56,6.00
"the oregon trail : from independence, missouri, to oregon city, oregon",describes the oregon trail and the pioneers who settled in the pacific northwest,overland journeys to the pacific; pioneers; frontier and pioneer life; frontier and pioneer life,"Oregon National Historic Trail, Pioneer life, Westward expansion","Oregon National Historic Trail,Pioneers,East-West trade",0.33,0.33,1.00,0.61,3.00
"faith in black power : religion, race, and resistance in cairo, illinois","""in 1969, nineteen-year-old robert hunt was found dead in the cairo, illinois, police station the white authorities ruled the death a suicide, but many members of the african american community believed that hunt had been murdered--a sentiment that sparked rebellions and protests across the city cairo suddenly emerged as an important battleground for black survival in america and became a focus for many civil rights groups, including the naacp the united front, a black power organization founded and led by reverend charles koen, also mobilized--thanks in large part to the support of local christian congregations in this vital reassessment of the impact of religion on the black power movement, kerry pimblott presents a nuanced discussion of the ways in which black churches supported and shaped the united front she deftly challenges conventional narratives of the de-christianization of the movement, revealing that cairoites embraced both old-time religion and revolutionary thought not only did the faithful fund the mass direct-action strategies of the united front, but activists also engaged the literature on black theology, invited theologians to speak at their rallies, and sent potential leaders to train at seminaries pimblott also investigates the impact of female leaders on the organization and their influence on young activists, offering new perspectives on the hypermasculine image of black power based on extensive primary research, this groundbreaking book contributes to and complicates the history of the black freedom struggle in america it not only adds a new element to the study of african american religion but also illuminates the relationship between black churches and black politics during this tumultuous era""--provided by publisher",civil rights movements; african americans; black power; african american churches; civil rights; race relations,"African American churches, Civil rights movements, Black power, Religion and politics, United Front (Organization : Cairo, Ill.)","African American churches,Civil rights movements,Black power,Religion and politics,Cairo,Apologies",0.50,0.50,0.84,0.64,6.00
fidel castro : cuban revolutionary leader,"in 1959, fidel castro took control of the cuban government and became its new leader fidel castro: cuban revolutionary leader explores the early life of castro and his rise to power easy-to-read text, vivid images, and helpful back matter give readers a clear look at this subject features include a table of contents, infographics, a glossary, additional resources, and an index aligned to common core standards and correlated to state standards",revolutionaries; heads of state; dictators,"Castro, Fidel, 1926-2016, Cuba -- History -- Revolution, 1959","Decimas, Cuban,Mutue Fides Mine,1926-,General strike, Cuba, 1958,1959-",0.00,0.00,0.00,0.29,8.00
"danger, man working : writing from the heart, the gut, and the poison ivy patch","""a collection of previously published magazine pieces and essays by michael perry sources include backpacker, outside, runner's world, men's health, no depression, oxford american, best american science writing, wisconsin trails, encyclopedia of the midwest, minnesota monthly, liner notes from blind boys of alabama album i'll find a way, wisconsin humanities council newsletter""--provided by publisher",popular culture,"Essays, Periodicals","Essays,Periodicals",0.00,0.00,0.00,0.25,2.00
secrets of ancient cultures the maya : activities and crafts from a mysterious land,"provides a history of the ancient maya civilization, as well as recipes, games, and directions for crafts based on mayan culture",mayas; maya cooking; creative activities and seat work,"Maya civilization, Handicraft, Material culture","Mayan,Handicraft,Material culture",0.00,0.00,0.00,0.48,3.00
oconee river user's guide,"""the oconee river may not be georgia's longest river, or its largest, but its waters feed into the altamaha river basin, which makes up nearly a quarter of the state's landmass, and reach east to nourish the marshes along the coast this humble but significant river has played a pivotal role in georgia's culture for more than 200 years, with evidence that it was used for cultivating crops as early as the 3rd century the oconee river user's guide is both a practical, mile-by-mile guide along the river and an exploration into its rich past and plentiful natural resources in it, readers will find everything they need to make their own sojourn along the river: detailed maps, points of interest, a fishing primer, a compact, illustrated natural history guide, and notes on safety and boating etiquette this guide is a must-have resource for anyone wishing to journey along the oconee's beautiful waterways""-- provided by publisher",outdoor recreation,"Oconee River, Georgia, Rivers, River basins, Natural resources, Boating, Guidebooks","Oconee River,Georgia,Rivers,Deep River Watershed,Natural resources,Boats and boating,Guidebooks",0.00,0.00,0.00,0.29,7.00
the denmark vesey affair : a documentary history,egerton and paquette have edited and annotated a wealth of archival material to create the authoritative one-volume documentary history of the denmark vesey insurrection of 1822,slaves; slave insurrections,"Vesey, Denmark, 1767-1822, Slave insurrections, Charleston (S.C.) - History - Slave insurrection, 1822","Grímsey,Denmark,1822-1832,Slave rebellions,Charleston Workhouse Slave Rebellion, Charleston, S.C., 1849,1822-",0.00,0.00,0.00,0.41,9.00
mile marker zero : the moveable feast of key west,"true tales of writers and pirates, painters and potheads, guitar pickers and drug merchants in america's southernmost city: key west, florida the small town on the two-by-four-mile island has long been an artistic haven, a wild refuge for people of all persuasions, and the inspirational home for a league of great american writers some of the artists went there to be literary he-men some went to re-create themselves others just went to disappear--and succeeded key west in the seventies was the right place at the right time, when an astonishing collection of artists--the likes of jimmy buffett, tom mcguane, and hunter s thompson--wove a web of creative inspiration this book tells the story of how these writers and artists found their identities and maintained their friendships over the decades, despite oceans of booze and boatloads of pot, through serial marriages and sexual escapades, in that dangerous paradise--from publisher description","authors, american","Key West (Fla.), Authors, American, Artists, American, Bohemianism, Literary landmarks","Key West (Fla.),Authors,American,Artists,American,Bohemianism,Literary landmarks",1.00,0.33,0.62,0.55,6.00
filipinos in canada : disturbing invisibility,"""the philippines became canada's largest source of short- and long-term migrants in 2010, surpassing china and india, both of which are more than ten times larger the fourth-largest racialized minority group in the country, the filipino community is frequently understood by such figures as the victimized nanny, the selfless nurse, and the gangster youth on one hand, these narratives concentrate attention, in narrow and stereotypical ways, on critical issues on the other, they render other problems facing filipino communities invisible this landmark book, the first wide-ranging edited collection on filipinos in canada, explores gender, migration and labour, youth spaces and subjectivities, representation and community resistance to certain representations looking at these from the vantage points of anthropology, cultural studies, education, geography, history, information science, literature, political science, sociology, and women and gender studies, filipinos in canada provides a strong foundation for future work in this area""--pub desc",filipinos; filipinos; filipinos,"Filipino Canadians, Immigrants, Communities, Stereotypes","Filipino Americans,Immigrants,Communities,Stereotypes (Social psychology)",0.00,0.00,0.00,0.49,4.00
asian canadian studies reader,"""roland sintos coloma and gordon pon's asian canadian studies reader brings together essential writings by leading and emerging scholars in the field to explore the vibrancy of the diverse asian diaspora in canada the reader is the perfect textbook for undergraduate courses in race and ethnic studies and the sociology of migration the volume is organized into four main themes: ethnic, intersectional, comparative, and transnational encounters it critically engages topics regarding orientalism, settler colonialism, globalization, and nationalism each groundbreaking essay challenges our conventional understandings of diversity and multiculturalism by tackling the intricacies of racism and racialization by capturing the rich diversity within asian canadian communities, coloma and pon dispel the perceptions of asians as always immigrants, newcomers, or model minorities the asian canadian studies reader is the first interdisciplinary collection of essays intended for undergraduate use about canada's largest racialized minority group""-- provided by publisher",asians; asians; asians; asians,"Asian Canadians, Race relations, Ethnicity, Sociology of migration, Globalization, Nationalism, Orientalism, Settler colonialism, Multiculturalism","Canadians,Race relations,Ethnicity,Forced migration,Globalization,Nationalism,Orientalism,Settler colonialism,Multiculturalism",0.00,0.00,0.00,0.39,9.00
"quebra-quilos and peasant resistance : peasants, religion, and politics in nineteenth-century brazil","in 1874 and 1875 peasants in the northeastern region of brazil rose up in rebellion, destroying the weights and measures of the new metric system implemented by the government authorities dubbed this the quebra-quilos or the ""break the scales"" uprising this analysis of the uprising explores its underlying causes: increased taxes, rising cost of food, the new metric system, the military draft and the imprisonment of two leading brazilian bishops the book covers the causes and results of an economy gone awry, governmental attempts at modernization, and nineteenth-century conflicts over church-state relations",peasant uprisings; social conflict,"Brazil, Peasants, Resistance movements, Nineteenth century, Religion and politics","Brazil,Peasants,Massive resistance movement,Nineteenth century,Religion and politics",0.00,0.00,0.00,0.40,5.00
mark warner the dealmaker : from business success to the business of governing,"""when mark warner left office in 2006 with an 80 percent approval rating, time magazine called him one of 'america's five best governors' virginia was ranked the best-managed state in the nation, the best state for business and the best state for educational opportunity when warner began his term in 2002, the commonwealth was in the midst of its worst fiscal crisis in forty years, and partisan bickering had brought political discourse in richmond to a standstill an entrepreneur from a young age, warner became the world's fist cellular industry broker and later co-founded nextel the conservative democrat came in with a plan to turn virginia around and restore the public's trust in state government, winning the support of battle-hardened republican legislators this is the story of how mark warner entered the governor's office a hands-on dealmaker and emerged a statesman""--page 4 of cover",governors,"Warner, Mark, Governors, Virginia, State governments","Warner sucker,Eye contact,Governors,Virginia,State governments",1.00,0.20,0.39,0.49,5.00
"selma's bloody sunday : protest, voting rights, and the struggle for racial equality","""one can point to more than a few 'critical moments' in the civil rights movement of the 1960s even so, few incidents so starkly etched the just-treatment claims of the struggle and the raw brutality of the forces arrayed against its protagonists as did the attempted marches from selma to the state capital in montgomery, alabama, in the spring of 1965 in march of that year the full force of the state of alabama--state troopers with nightsticks, some mounted--fell on unarmed protestors as they crossed a bridge leading out of selma, beating them and continuing to flail at them most of the way back into town this event, much of it caught on television tape, helped the president and fellow democrats decide to make enforcement of voting rights in the south the subject of special federal legislation pratt makes 'bloody sunday' the focus of a short book on the civil rights as voting rights movement, its background, and the continuing controversy over federal laws that benefit blacks specifically and impose sanctions on states with histories of impeding voting rights for all citizens""-- provided by publisher",african americans; african americans; civil rights movements,"Selma to Montgomery Rights March (1965), Civil rights movements--United States, Voting--United States, African Americans--Civil rights, Voting rights--United States, Alabama--Politics and government--1951-, Alabama--Race relations, Voting--Law and legislation--United States","Selma to Montgomery National Historic Trail,Civil rights movements,Voting, Compulsory,Civil rights workers, Black,Voting age,Alabama claims,Alabama Indians,Election law",0.50,0.10,1.00,0.41,10.00
lewis and clark,an introduction to the lewis and clark expedition of 1804-1806,explorers,Lewis and Clark Expedition,Lewis and Clark National Historic Trail,0.00,0.00,0.00,0.29,1.00
inside the igloo : pittsburgh's favorite gathering place,"tells the story of pittsburgh's civic arena, beginning with the city's plan to build ""an architectural marvel"" that featured the world's first and largest retractable dome roof ""it hosted everything from penguins to the ice capades, circuses to wrestling matches and monster truck jams, along with the world's most famous entertainers many pittsburghers will remember it as mellon arena, the name adopted in 1999 and put aside on august 1, 2010""",arenas; arenas; music-halls; music-halls; domes,"Civic Arena (Pittsburgh, Pa.)","Civic Arena (Pittsburgh, Pa.),Pennsylvania",0.00,0.00,0.00,0.37,3.00
skateboarding street style,"""engaging images accompany information about skateboarding street style the combination of high-interest subject matter and light text is intended for students in grades 2 through 7""-- provided by publisher",skateboarding; extreme sports,"skateboarding, street style","Skateboarding,Street style",0.50,0.50,1.00,0.66,2.00
chipped stone : behavioral ecology in the middle missouri subarea of the north american great plains,"""combines a vast array of data with evolutionary ecology to define patterns in how past peoples along the missouri river used stone sources for crafting tools""--provided by publisher","stone implements; tools, prehistoric; indians of north america; industries, primitive; indians of north america","Stone tools, Archaeology, Missouri River, North American Great Plains, Behavioral ecology","Stone-cutting tools,Archaeology,Missouri River,Great Plains,Human ecology",0.00,0.00,0.00,0.50,5.00
geothermal power,an exploration of geothermal power that describes how it is harnessed and discusses its advantages and disadvantages as well as its potential for being used as a primary source of energy,geothermal resources,"geothermal power, renewable energy sources","Geothermal engineering,Renewable energy sources",0.00,0.00,0.00,0.67,2.00
"the spanish arcadia : sheep herding, pastoral discourse, and ethnicity in early modern spain","""the spanish arcadia analyzes the figure of the shepherd in the sixteenth- and seventeenth-century spanish imaginary, exploring its centrality to the discourses on racial, cultural, and religious identity drawing on a wide range of documents, including theological polemics on blood purity, political treatises, manuals on animal husbandry, historiography, paintings, epic poems, and spanish ballads, javier irigoyen-garcía argues that the figure of the shepherd takes on extraordinary importance in the reshaping of early modern spanish identity the spanish arcadia contextualizes pastoral romances within a broader framework and assesses how they inform other cultural manifestations in doing so, irigoyen-garcía provides incisive new ideas about the social and ethnocentric uses of the genre, as well as its interrelation with ideas of race, animal husbandry, and nation building in early modern spain"" publisher's website","shepherds; sheepherding; pastoral systems; pastoral literature, spanish; spanish literature; shepherds in literature; ethnology","Shepherds, Pastoral literature, Ethnicity, Spain, Identity (psychology)","Shepherds,Pastoral literature,Ethnicity,Spain,Identity (Psychology)",0.25,0.40,0.69,0.67,5.00
gerardus mercator : father of modern mapmaking,"a biography of the sixteenth-century cartographer gerardus mercator, who invented a method of projecting the curvature of the earth's surface on to a flat sheet of paper",cartographers,"Mercator, Gerard, Cartographers, Maps","Double Mer,Gerard family,Cartographers,Maps",1.00,0.25,1.00,0.49,4.00
basketball,"reviews the history of basketball, how it is played, the rules of the game, and introduces readers to some of basketball's greatest players",basketball,Basketball,Basketball,1.00,1.00,1.00,1.00,1.00
the culture of body implants,"""a book for teens about the culture of body implants""-- provided by publisher","body marking; implants, artificial","Body modification, Teenagers","Human body,Teenagers",0.00,0.00,0.00,0.38,2.00
werewolves,"""blending real-life history and evidence with age-old myths, this book invites young readers to think critically about werewolf legends and how they influence society text describes the characteristics of werewolves, highlights historical accounts around the world, and offers examples from books, television, and film table of contents, fun facts, critical thinking questions, glossary, and index included aligned to common core standards and correlated to state standards big buddy books is an imprint of abdo publishing""-- provided by publisher",werewolves,"Werewolves, Folklore","Werewolves,Folklore",1.00,0.50,1.00,0.67,2.00
trustworthiness in sports,"demonstrates the game-changing power of trustworthiness through action-filled stories, captivating spreads, and a character-building quiz, readers will consider their own character and be encouraged to take it to the next level",sports; reliability,"Trustworthiness, Sports","Trust,Sports",0.50,0.50,0.63,0.73,2.00
"digital football cultures : fandom, identities and resistance","""as the digital revolution continues apace, emergent technologies and means of communication present new challenges and opportunities for the football industry this is the first book to bring together key contemporary debates at the intersection of football studies, leisure studies and digital cultural studies it presents cutting edge theoretical and empirical work based around four key themes: theorising digital football cultures; digital football fandom; football and social media; and football (sub)cybercultures covering topics such as transnational digital fandom, online abuse and gender, digital football cultures argues that we are witnessing the hyper-digitalization of the world's most popular sport this book is a valuable resource for students and researchers working in leisure studies, sports studies, football studies and critical media studies, as well as geography, anthropology, criminology and sociology it is also fascinating reading for anybody working in sport, media and culture""-- provided by publisher",soccer; soccer; soccer fans; digital media,"Soccer fans, Soccer, Digital media, Social media, Sports fans","Soccer fans,Soccer,Digital media,Social media,Sports upsets",1.00,0.60,0.85,0.80,5.00
the languages of gift in the early middle ages,"""this is a collection of original essays on gift in the early middle ages, from anglo-saxon england to the islamic world focusing on the languages of gift, the essays reveal how early medieval people visualized and thought about gift, and how they distinguished between the giving of gifts and other forms of social, economic, political and religious exchange the same team, largely, that produced the widely cited the settlement of disputes in early medieval europe (cambridge university press, 1986) has again collaborated in a collective effort that harnesses individual expertise in order to draw from the sources a deeper understanding of the early middle ages by looking at real cases, that is at real people, whether peasant or emperor the culture of medieval gift has often been treated as archaic and exotic; in this book, by contrast, we see people going about their lives in individual, down-to-earth and sometimes familiar ways""-- provided by publisher","gifts; civilization, medieval","Middle Ages, Gift giving, Social exchange, Economic exchange, Religious exchange, Anglo-Saxon England, Islamic world","Middle Ages,Gifts,Social exchange,Economic conversion,Religious life,Anglo-Saxons,Islamic",0.33,0.14,0.33,0.55,7.00
troubled waters : ocean science and governance,"""bringing together 30 international experts, this volume commemorates the 50th anniversary of the intergovernmental oceanographic commission of unesco, the un organization responsible for fostering intergovernmental cooperation on global ocean issues it looks at how governments use science to establish ocean policies, with chapters ranging from the history of ocean management to current advances in marine science, observation and management applications, and the international agencies that co-ordinate this work with a focus on key topical issues such as marine pollution, exploitation, and hazards, troubled waters reflects on past successes and failures in ocean management and emphasises the need for knowledge and effective government action to ensure a sustainable future for this precious resource illustrated with dramatic, full-colour images, it is essential reading for researchers, students, policy makers and managers of the marine environment, and also provides an attractive and accessible overview for anyone concerned about the future stewardship of our oceans""-- provided by publisher ""life on earth originated in the margins of the primordial ocean and for millions of years evolved in this aquatic milieu to be certain, the ocean is a thin layer of fluid that plays an essential role in making the planet livable: on average the radius of the planet is 6371 kilometers,""-- provided by publisher",marine sciences; marine ecology; marine pollution,"Oceanography, International cooperation in science, Oceanography, International cooperation in science, Marine pollution, Marine resources conservation, Marine sciences, Oceanographic research, Oceanography, Research, Oceanography, Study and teaching","Oceanography,Science and international relations,Oceanography,Science and international relations,Marine pollution,Marine resources conservation,Marine sciences,Oceanography,Oceanography,Research,Oceanography,Study and teaching",0.67,0.29,0.51,0.63,7.00
fantasy hockey math : using stats to score big in your league,"""describes how to use statistics and math to create and run a successful fantasy hockey team""-- provided by publisher",fantasy hockey (game),"fantasy sports, ice hockey, statistics","Fantasy sports,Hockey,Statistics",0.00,0.00,0.00,0.51,3.00
take shelter : at home around the world,"a roof, a door, some windows, a floor all houses have them, but not all houses are alike some have wings (airplane homes), some have wheels((romany vardoes), some float; some are made of straw, some of snow and ice some are enormous, some are tiny; some are permanent and some are temporary but all are home take shelter explores the way people live all over the world and beyond--from the arctic to the antarctic, from an underground house in las vegas to the international space station everywhere people live, they adapt to their surroundings and create unique environments, using innovative techniques to provide that most basic of needs: shelter","dwellings; architecture, domestic","Dwellings, Housing, Architecture","Dwellings,Housing,Architecture",0.67,0.67,0.69,0.92,3.00
running for their lives : the extraordinary story of britain's greatest distance runners,"you're unlikely to have heard of britain's greatest long-distance runner despite being a world-class athlete, peter gavuzzi was consigned to obscurity his heyday was in 1929, when he took part in the most extraordinary race ever held u a transcontinental run across america he covered an improbable 3,500 miles in just 78 days",long-distance runners; long-distance runners; long-distance running,"Runners, Long-distance running, Athletes, Races","Runners (Sports),Long-distance running,Athletes,Race",0.50,0.25,1.00,0.68,4.00
science and sustainability : learning from indigenous wisdom,"""this book is about indigenous science: sustainable knowledge and practice of indigenous peoples around the world which has usually been developed and handed down for generations, but which was often largely ignored by settlers in their lands such science has been passed on in performance, art, stories, and in embodied practice, so the book will necessarily examine the meaning of science, problematizing the idea that western science is the only type that deserves that name, and drawing attention to some of its shortcomings methods of acquiring ""science"" are also examined, notably including a personal account of the author's dissatisfaction with her own undergraduate training, and a realization much later of the reasons for this disillusionment throughout the book, the author takes the reader with her on the learning process that brought its content to her attention, and therefore introduces the reasons for wanting to share the examples gathered""-- provided by publisher",indigenous peoples; ethnoscience; traditional ecological knowledge; ethnophilosophy; science; science; sustainability; sustainable living,"Indigenous peoples, Sustainability, Traditional ecological knowledge","Indigenous peoples,Sustainability,Traditional ecological knowledge",0.43,1.00,1.00,1.00,3.00
not your typical book about the environment,"written to allay children's fears about the environment, this book shows how smart technologies, innovative ideas, and a growing commitment to alternative lifestyles are exploding around the world, creating a future that will be brighter than we sometimes might think includes profiles of unexpected personalities",human ecology; sustainable living,"environmental protection, children's literature","Environmental protection,Children's literature",0.00,0.00,0.00,0.37,2.00
hiking waterfalls in west virginia : a guide to the state's best waterfall hikes,"""hiking waterfalls in west virginia includes detailed hike descriptions, maps, and color photos for some 100 of the state's most scenic waterfall hikes encompassing state and national parks, forests, monuments and wilderness areas, this guide includes history, local trivia, and gps coordinates, leading hikers to remote corners to view spectacular waterfalls"" -- provided by publisher",hiking; waterfalls; trails,"Waterfalls, Hiking, West Virginia","Waterfalls,Hiking,West Virginia",0.67,0.67,0.69,0.74,3.00
