title,abstract,lcsh_subject_headings,predicted_LCSH,Replaced_Predictions,recall,precision,ndcg,semantic_similarity,num_predicted_labels
"resting places : the burial sites of over 10,000 famous persons","""this massive reference work alphabetically lists more than 10,000 well-known people from film, theater, radio and television as well as all varieties of music, sports, history, government, crime and popular culture each entry provides birth and death dates, a summary of the subject's life and claim to fame, and the location of the person's final resting place""--provided by publisher",celebrities; celebrities,"Notable individuals,Death and burial,Celebrities,Biographies,Celebrity culture,Entertainment industry personnel,Graves,Cemeteries,Famous persons","Biography,Death and burial,Celebrities,Biographical sources,Celebrities in popular culture,Home entertainment industry,Urn burial,Cemeteries,Award winners",1.00,0.11,0.32,0.52,9.00
renaissance & reformation biographies,"profiles fifty people who played a significant role during the renaissance and reformation periods in europe, including john calvin, peter paul rubens, catherine de medici, and johannes kepler",renaissance; reformation,"17th century,Theology,Christianity,Science,1517,Art,Protestantism,Reformers,Catholic Church,16th century,Church history,Biography,Renaissance,1546,History of science,History,Reformation,Europe","17th century,Theology,Christianity,Science,1517-,Art,Protestantism,Reformers,Catholic Church,16th century,Church history,Biography,Renaissance,To 1548,Discoveries in science,History,Reformation,Europe",1.00,0.11,0.32,0.53,18.00
history for genealogists : using chronological time lines to find and understand your ancestors,history lays the foundation to understand a group of people genealogy lays the foundation to understand a person or family using tangible historic evidence,"genealogy; chronology, historical; world history","Family trees,Family history,Time management,Ancestry research,Historical context,Local history,Genealogical research,Genealogy,Historical research,Historical records,Chronology","Shorter family,Family histories,Time management,Interviewing in genealogy,Historicity,Local history,Genealogy,Genealogy,Historical models,Chronology, Historical,Chronology",0.50,0.18,0.45,0.73,11.00
unsolved archaeological mysteries,"""describes mysterious and unsolved archaeological sites and artifacts from around the world""-- provided by publisher",archaeology; antiquities; excavations (archaeology); archaeologists,"Ancient ruins,Unexplained phenomena,Ancient civilizations,Underwater archaeology,Unexplained artifacts,Archaeological sites,Excavations (Archaeology),Historical mysteries,Historical preservation,Cultural heritage,Lost cities,Mysterious places,Prehistoric peoples,Archaeology","Ancient Bluff Ruins,Subconsciousness,Civilization, Ancient,Underwater archaeology,Alien artifacts,Archaeological sites,Excavations (Archaeology),Chronology, Historical,Historic preservation,Heritage tourism,Ghost towns,Imaginary places,Prehistoric peoples,Archaeology",0.50,0.14,0.39,0.62,14.00
tracing your great war ancestors : ypres : a guide for family historians,"""do you have an ancestor who served at ypres in the first world war, during the four years in which the city was in the front line? perhaps you have thought of visiting the battlefields nearby and the monuments that commemorate them, and want to find out exactly where your ancestor served and what part he played in the four great battles that took place there? so many british soldiers served in flanders during the long struggle to defend the ypres salient and to break out of it that there is a good chance that your ancestor was there at some stage of the war this practical and informative handbook is an ideal guide to the struggle for the city and the stories of the men who took part in it it is also a fascinating introduction to researching the great war as a whole simon fowler outlines the course of the fighting around the city and he introduces the most important historical resources that you can use to explore the history for yourself the book identifies the key sources for family historians, including at the national archives and the imperial war museum, together with the many resources online that researchers can turn to there is also advice on the literature, archives, museums and monuments that may help you to gain an insight into your ancestor's story""--back cover","world war, 1914-1918; soldiers","Belgium,World War,Ypres (Belgium),1914,First World War,British,Military,Family,Great Britain,Genealogy,Military History,Personal narratives,British Army","Belgium,World War III,Ostend (Belgium),1914-,World War III,British,Army,Family,Great Britain,Genealogy,Military history,Personal narratives,British forces",0.33,0.08,1.00,0.55,13.00
shoeless joe,"one day while out in his corn field, iowa farmer ray kinsella hears a voice saying, ""if you build it, he will come"" ""he,"" of course, is ray's hero, shoeless joe jackson ""it"" is a baseball stadium, which ray carves out of his corn field",baseball players; farmers,"American fiction,Legends,Sports fiction,Farmers,Fantasy fiction,Baseball fiction,Iowa,Spirituality","American fiction,Legends,Sports literature,Farmers,Fantasy fiction,Baseball stories,Iowa,Spirituality",0.50,0.12,0.39,0.42,8.00
not just the boss's plaything & a devil in disguise,"""not just the boss's plaything: a very personal performance plan, from the moment alicia teller tripped and fell into nikolai korovin's arms, her iron-clad control started to slip! while alicia's tantalizing curves might drive nikolai to distraction, business and pleasure are not two things this legendary tycoon has ever mixed until now -- a devil in disguise: playing with fire! drusilla bennett's job from hell will soon be over ready to take her life back, she plucks up the courage to say 'i quit!' but nothing and no one has ever taken cayo vila by surprise, and he's not going to let dru go quite so easily?""--page [4] of cover",man-woman relationships,"Romance fiction,Corporate culture,Corporate executives,Conflict of interest,Executive power,Love,Power (Social sciences),Businessmen,Workplace romance,Corporate power","Romance fiction,Corporate culture,Executives,Conflict of interests,Executive power,Love,Power (Social sciences),Businessmen,Romance,Corporate power",0.00,0.00,0.00,0.27,10.00
the other side,"a collection of five romantic novellas involving ghosts includes j d robb's ""possession in death,"" in which lieutenant eve dallas is possessed by a victim who is determined to exact revenge against her killer through eve","paranormal fiction; paranormal fiction, american; ghost stories, american; romance fiction, american","Women detectives in literature,Supernatural fiction,Romance fiction,Vampires in literature,Revenge fiction,Spirit possession in literature,Paranormal fiction,Ghost stories","Women detectives in literature,Supernatural,Romance fiction,Vampires in literature,Suspense fiction,Spirit possession in literature,Paranormal fiction,Ghost stories",0.75,0.38,0.73,0.72,8.00
the notorious gabriel diaz,"notorious gabriel diaz: ""of all the arrogant billionaires in all the world, why is gabriel diaz the only one she can turn to? the last time gabriel heard the word no was when lucy robins rejected his skilled advances-a moment that is still etched on his bruised ego! now, with her family in trouble, lucy desperately needs help gabriel is happy to strike a deal, but his price is high: lucy's virginity! except he wasn't prepared for their night together to leave him hooked, and when lucy refuses to be his plaything, he throws that same little word back at her no!""--publisher ruthless tycoon, inexperienced mistress: ""cesar caretti has had a string of sophisticated socialites warming his bed--until he meets jude her untainted beauty sets his spanish blood on fire! jude struggles to keep up with cesar's glamorous world then her inexperience is fully revealed: she's expecting the spaniard's baby for cesar there is only one option--marriage after all, he is a caretti and, as jude discovers, his proposal is not a question it's a command!""--publisher",billionaires; virgins; businessmen; mistresses; pregnancy; marriage,"Romance fiction,Rich people,Virginity,Latin Americans in literature,Romance,Love,Power (Social sciences),Pregnancy,Billionaires in literature,Mistress and master relationships,Social classes,Businessmen in literature,Marriage","Romance fiction,Rich people,Virginity,Latin Americans in literature,Romance,Love,Power (Social sciences),Pregnancy,Businessmen in literature,Submissiveness,Social classes,Businessmen in literature,Marriage",0.33,0.15,0.38,0.61,13.00
"kid carolina : rj reynolds, jr, a tobacco fortune, and the mysterious death of a southern icon","an intimate look at the dramatic, tumultuous life and mysterious death of dick reynolds--tobacco fortune heir, business tycoon, cultural obsession, and true american icon",businessmen; heirs; philanthropists; politicians,"Tobacco industry,Murder,True crime,Wealth,Corporate executives,Family secrets,Biography,North Carolina,Wealth and influence,Businesspeople","Tobacco industry,Murder,Crime,Wealth,Executives,Family secrets,Biography,North Carolina,Wealth,Businesspeople",0.00,0.00,0.00,0.43,10.00
unofficial guide to familysearchorg : how to find your family history on the world's largest free genealogy website,"discover your ancestry on familysearchorg, the world's largest free genealogy website this in-depth user guide shows you how to find your family in the site's databases of more than 35 billion names and millions of digitized historical records spanning the globe learn how to maximize all of familysearchorg's research tools including hard-to-find features to extend your family tree in america and the old country",genealogy; genealogy; internet research,"Digital libraries,Archives and manuscripts,Research methods,Family trees,surname research,Family history,Free online resources,Ancestry research,Family records,manuals,Genealogical research,Online resources,Genealogy,Family histories,Historical records,etc","Digital libraries,Acquisition of manuscripts,Single subject research,Shorter family,Interviewing in genealogy,Family histories,Information resources,Interviewing in genealogy,Family records,Amateurs' manuals,Genealogy,Information resources,Genealogy,Family histories,Chronology, Historical,Sweepstakes",0.50,0.06,0.28,0.59,16.00
the medieval knights,"""an introduction to the history and lifestyle of medieval knights""--provided by publisher","knights and knighthood; civilization, medieval","Medieval History,Chivalry,Tournament,Medieval,Heraldry,Armor,Nobility,Knights,Feudalism","Middle Ages,Chivalry,Tournaments,Middle Ages,Heraldry,Armor,Nobility,Knights and knighthood,Feudalism",0.33,0.11,0.50,0.58,9.00
california calling : a self interrogation,"""the first time natalie singer learns about california, she's nine, tucked between library stacks, a canadian blizzard outside in a book called all about california, she reads of mythological griffins, rupturing earthquakes, furnace deserts, and hollywood stars, and an imprinting takes place could california be an answer to her dull existence in the nowhere of the north and the family secrets seeping out from behind closed doors? the fantasy of california blooms out of singer's father's collection of beach boys records, her pretty mother's perfect red nails, the boys and men she tries hungrily to connect with, and the haunting memory of being interrogated on a courtroom witness stand at sixteen, she finally goes west to the place of her obsessions to find out whether you can cure longing with landscape alone reckoning with the power that family and cultural myths hold over us, california calling is a universal coming-of-age story and one woman's lyrical, achingly honest search for a state of belonging""--provided by publisher",young women; canadians; coming of age; man-woman relationships,"Longing,Families,Women authors,Identity,Canada,Family secrets,California,Place attachment,Personal growth,Canadian,Coming","First loves,Families,Women authors,Identity,Canada,Family secrets,California,Place attachment,Growth,Canadians,Right of way",0.00,0.00,0.00,0.44,11.00
antony and cleopatra,"blending history and high drama, antony and cleopatra remains one of shakespeare's finest achievements",generals; queens,"Alexandria (Egypt),Love Triangles in Literature,Manuscripts,Roman Emperors,Ancient Egypt History,English,Ancient Egyptian Queens,Romans,History,Shakespeare,Dramas","Alexandria (Egypt),Triangles (Interpersonal relations) in literature,Manuscripts,Emperors,Chronology, Egyptian,English,Goddesses, Egyptian,Romans,History,Shakespeare's Way,Drama",0.00,0.00,0.00,0.31,11.00
"between caravan and sultan : the bayruk of southern morocco, a study in history and identity","this work presents a study of the history and identity of the moroccan bayruk family the first part of the book gives an outline of the main referents in both the bayruk vision of 'self', and academic discourses on maghribian history: the dynasty, caravan and 'tribe' it identifies discrepancies in scholarly presentations of the bayruk and traces them back to two overlapping issues of translation and conception for the remainder of the book a variety of sources are used to highlight the role of textuality in the creation of the bayruk image in academic discourse as a result this book demonstrates how the bayruk family can be used as a case-study to revise the existing interpretations of maghribian history and modes of identification -- back cover",group identity; caravans; slave trade,"Bayruk family,Identity,Ethnology,Moroccan tribes,Moroccan,Southern Morocco (Region),Family,History,Morocco","Bayruk family,Identity,Ethnology,Moroccans,Moroccans,Morocco,Family,History,Morocco",0.00,0.00,0.00,0.40,9.00
the christmas bouquet,"""for the very driven medical student caitlyn winters, catching the bridal bouquet at a christmas wedding has set off a chain reaction that she's sure is more curse than blessing not only has she fallen in love with family medicine resident noah mcilroy, but an unexpected pregnancy threatens her well-laid plans for the future it doesn't help that noah--with a whole lot of help from caitlyn's o'brien relatives--is completely on board with the prospect of marriage and happily-ever-after""--amazoncom",women medical students; man-woman relationships,"Family medicine,Medical students,Physicians as characters,Love stories,Romance fiction,Christmas stories,Pregnant women,Pregnancy,Women physicians,Family relationships,Family medicine residents,Christmas weddings,Marriage","Family medicine,Medical students,Substitute physicians,Stories,Romance fiction,Christmas stories,Pregnant women,Pregnancy,Women physicians,Family relationships,Family medicine,Weddings,Marriage",0.00,0.00,0.00,0.45,13.00
huntress,"four all-new stories featuring demon huntresses by four ""new york times""-bestselling authors--christine warren, marjorie m liu, caitlin kittredge, and jenna maclaine--are collected for this sizzling new anthology original",demonology; paranormal fiction,"Vampires,Female protagonists,Urban fantasy,supernatural,Magic,Dark fantasy,Women in literature,Fantasy fiction,Occult fiction,Women warriors,Supernatural beings,Demonology","Vampires,Lesbian heroes,Urban fiction,Supernatural,Magic,Fantasy,Women in literature,Fantasy fiction,Occultism in literature,Women heroes,Supernatural,Demonology",0.50,0.08,1.00,0.54,12.00
from this day forward,"""claire winters was a society girl jack murphy was born a roughneck but at a time when women were expected to play by the rules, claire was determined to break all of them rebecca murphy was planning her grandparents' wedding anniversary party when she was reunited with her onetime wedding fling, ryan fuller but while their chemistry still sizzled, ryan maintained his position--he was always the groomsmanand never the groom! successful businessman nate aldrich had always avoided settling downuntil single mom and restaurant owner jordan chelsey showed him just what kind of life he might find inside that fabled white picket fence""--p [4] of cover",social stratification; social classes; weddings; businessmen; restaurateurs; single mothers; man-woman relationships,"Romance fiction,Love stories,Fiction,Family relationships,Social class,Women's fiction,Women's rights,Texas,Marriage","Romance fiction,Stories,Fiction,Family relationships,Social classes,Feminist fiction,Women's rights,Texas,Marriage",0.00,0.00,0.00,0.49,9.00
archaeology from space : how the future shapes our past,"""a down-and-out so-and-so gets more than she bargained for when new technologies developed for use in space allow an anthropologist a new perspective on earth's ancient histories and new ways of coping with those""-- provided by publisher",archaeology; artificial satellites in remote sensing; aerial photography in archaeology; space photography,"Archaeological theory,Anthropology and space exploration,Space archaeology,Cultural heritage preservation and space technology,Human settlement patterns,Cultural resource management and space exploration,Archaeological methods and remote sensing,Archaeological methods and techniques,Technology and cultural heritage preservation","Archaeological significance,Extraterrestrial anthropology,Space archaeology,Museum techniques,Human settlements,Space tourism,Archaeological mapping,Archaeological significance,Museum conservation methods",0.00,0.00,0.00,0.59,9.00
"you should really write a book : how to write, sell, and market your memoir","""the days are long gone when publishing professionals were willing to take on a manuscript simply because it's based on a ""good idea"" or even because it's well written with eyes focused on the bottom line, agents and editors now look for skilled and creative authors who come with an established audience, too you should really write a book is essential reading for those wanting to write commercially viable memoirs in today's vastly changed publishing industry it is designed as a guide for writers, editors, and marketing professionals brooks and richardson utilize the newest social networking, marketing and promotional trends and explain how to conceptualize and strategize campaigns that cause buzz, dramatically fueling word-of-mouth and boosting the chances of attracting attention in the publishing world and beyond created to give writers a competitive advantage, this handy and concise book focuses on six major memoir categories, explains what sells and why, and teaches writers to think like publishers""-- provided by publisher",autobiography; authorship,"Self,Literary agents,Memoirs,Memoir writing,manuals,Book marketing,Digital marketing,Author platform,Nonfiction writing,etc,Publishing industry trends","Self,Literary agents,Book of life,Written works,Amateurs' manuals,Conversation and phrase books (for businesspeople),Communication in marketing,Online authorship,Nonfiction novel,Sweepstakes,Publishing industry employees",0.00,0.00,0.00,0.44,11.00
elements of genealogical analysis,"""this handbook presents a step-by-step process for solving genealogical problems -- a methodology thirty years in the making developed by anderson and perfected through his work on the great migration study project, this systematic approach considers each source, each record, and each possible linkage before making a genealogical conclusionexamples of actual research problems and continuing case studies, accompanied by easy-to-follow diagrams, walk you through the steps of effective genealogical analysis"" -- publisher's description",genealogy,"Genealogical methods,Family research,Problem,Family history,Genealogical sources,Problem solving in genealogy,Genealogy,Historical research,Research methodology,Historical records","Genealogical correspondence,Family histories,Testing,Family histories,Genealogical correspondence,Interviewing in genealogy,Genealogy,Historical models,Methodology,Chronology, Historical",1.00,0.10,0.39,0.61,10.00
genealogist's handbook for irish research,"""in genealogist's handbook for irish research, nehgs irish genealogy experts marie e daly and judith lucey offer tips for navigating the sometimes challenging course of finding irish ancestors using real-life examples and offering many illustrations of records and techniques, they take a step-by-step approach to using american records to trace irish ancestors in this country, with the goal of finding the place of origin they then explain how to use irish records to learn even more drawing on their years of experience guiding those with irish ancestry, daly and lucey focus not just on sources of records but -- more important -- on strategies for research and interpretation the book includes to-do lists, illustrations and maps, a comprehensive table of online resources, and a detailed index"" -- publisher's description",irish americans,"Surname research,Local history,Ancestry,Ireland,Genealogy,Family records,Irish Americans,Emigration and immigration","Interviewing in genealogy,Local history,Genealogy,Ireland,Genealogy,Family records,Irish Americans,Emigration and immigration",1.00,0.12,0.43,0.39,8.00
heroes in training,"this fantasy anthology follows the transformation of ordinary people into extraordinary heroes, including a shape-shifter who is forced unexpectedly into her first solo mission","heroes; fantasy fiction, american; woman heroes","Superheroes,Heroes,Self,Supernatural,Magic,Shape,Transformation (Mythology),Adventure stories,Fantasy fiction,Fiction,Coming","Superheroes,Heroes,Self,Supernatural,Magic,Shapes,Mythological interpretations,Adventure stories,Fantasy fiction,Fiction,Right of way",0.50,0.18,0.44,0.57,11.00
"tree rings, art, archaeology : proceedings of an international conference, brussels, royal institute for cultural heritage, 10-12 february 2010","in 2010 irpa-kik organized the tree rings, art, archaeology conference the various articles gathered in the proceedings reflect the practices of fifteen european countries the first objective of the conference was to review the notable advances over the last ten years the second aim, focused more on the future, was to bring together dendrochronologists and other players in the field - historians, archaeologists and art historians - to discuss the 'good use of dendrochronology' the articles explore the different facets of the dendrochronological prism-- source other than library of congress",dendrochronology; dendrochronology; archaeological dating,"Tree,Art,Archaeological method,Wood anatomy,Archaeological dating,Wood as art material,Archaeology,Paleoclimatology,Dendrochronology","Trees,Art,Archaeological integrity,Wood in design,Archaeological dating,Wood in art,Archaeology,Paleoclimatology,Dendrochronology",1.00,0.22,0.45,0.53,9.00
a long way home,"""the miraculous and triumphant story of a young man who rediscovers not only his childhood life and homebut an identity long-since left behind""-- provided by publisher",east indians; adopted children; birthparents; intercountry adoption; intercountry adoption; large type books,"Reunion,Coming of age,Family reunions,Man,Self,Family secrets,Psychological trauma,Homecoming,Nostalgia,Identity crisis,Fathers and sons","Réunion,Coming of age,Family reunions,Wonder,Self,Family secrets,Psychological abuse,Homecoming,Nostalgia,Identity,Fathers and sons",0.00,0.00,0.00,0.32,11.00
much ado about vampires,"when alec darwin, the vampire she was mated to in a past life, returns, corazon ferreira, who is caught up in the plans of a reanimated corpse and its master, discovers that alec is the only one who can protect her",vampires; paranormal romance stories,"Romance fiction,Vampires,Vampires in literature,Romance,Love,Supernatural beings in literature,Brazil (in setting),Paranormal fiction,Reincarnation fiction,Past","Romance fiction,Vampires,Vampires in literature,Romance,Love,Supernatural in literature,Brazil,Paranormal fiction,Reincarnation,Time",0.50,0.10,0.32,0.52,10.00
the us flag : introducing primary sources,"""introduces young readers to primary sources related to the us flag""-- provided by publisher",flags,"Patriotic education,Educational resources,Symbolism in art,National symbols,Patriotic symbols,History,Flags,United States","Patriotism,Open educational resources,Symbolism in art,Emblems, National,Emblem and flag,History,Flags,United States",1.00,0.12,0.32,0.38,8.00
the tick : six action-packed adventures,"join the tick as he and his sidekick, arthur, take on the idea men, a giant expanding loaf of bread, the villainous chairface cheppendale, a rampaging human dinosaur, el seed and his attacking cacti, and the evil master of hypnotism, mr mental, in 6 action-packed, laugh-out-loud adventures!",short stories,"Animated television series,Teenagers,Superheroes,Humorous comics,graphic novels,Science fiction comics,Comics,Adventure comics,Teen comic books,Superhero teams,Adventure and adventurers,Teenagers in popular culture,Graphic novels","Animated television programs,Teenagers,Superheroes,Comics,Graphic novels,Comics adaptations,Comics,Comics adaptations,Comic books and teenagers,Superheroes,Adventure and adventurers,Teenage girls in popular culture,Graphic novels",0.00,0.00,0.00,0.27,12.00
pleasurably undone!,a collection of five historical romances includes the tale of a viking warrior and his royal love slave; a noble marriage of convenience; and a lieutenant who meets a widow in a bawdy house,man-woman relationships,"Prostitution,Romance fiction,Historical fiction,Historical romance,Marriage of convenience,Love slaves,18th century Europe,Bawdy houses,Noble class,Royal courtiers,Medieval Europe,Viking warriors,Regency romance,Widows","Prostitution,Romance fiction,Historical fiction,Reunions in literature,Impediments to marriage,Fugitive slaves,18th century,Halfway houses,Four Noble Truths,Royal governesses,Middle Ages,Vikings,Regency style,Widows",0.00,0.00,0.00,0.23,14.00
purple hummingbird : a biography of elizabeth warder crozer campbell,"""elizabeth warder crozer campbell and her husband, william campbell, found themselves forced to move to the mojave desert in 1924, its dry climate proving to be the best for william's frail lungs burned by mustard gas in world war i they camped at twentynine palm oasis in what is now joshua tree national park, homesteaded nearby, and became a central part of that early community life in the remote, stark landscape contrasted sharply with elizabeth's early years of wealth and privilege in pennsylvania, where her family owned not only farms and thoroughbreds but also coal, iron, and steel her resilient spirit made the best of what at first seemed like a bleak situation: she became an amateur archaeologist and exploring the desert in search of human-made artifacts became her daily work and passion neither elizabeth nor william had any formal training in archaeology, so she drew from the resources at her disposal -- a family trust fund, her sharp intellect, and local scientists, especially geomorphologists, geologists, and anthropologists a keen observer and independent thinker, she soon hypothesized that prehistoric people had lived in the california deserts along the shores of late pleistocene lakes and waterways much earlier than was then believed she devised a means for testing her hypothesis and found evidence to support it her interpretations, however, conflicted with the archaeological paradigm of the day and she was dismissed by formally trained archaeologists even so, she and her husband continued their work, convinced of the accuracy of her findings four decades later the archaeological establishment validated and accepted her ideas campbell's research ultimately revolutionized archaeological thought, forming the basis of today's landscape archaeology""--provided by publisher",archaeologists,"Joshua Tree National Park (Calif),Desert archaeology,Mojave Desert (Calif and Ariz),Women archaeologists,Pioneers,Mojave Desert (Calif),Women pioneers,California,Homesteading,Landscape archaeology,Archaeology,World War I casualties","Joshua Tree National Park (Calif.),Desert resources,Sonoran Desert,Women archaeologists,Pioneers,Mojave Desert,Women pioneers,California,Urban homesteading,Landscape archaeology,Archaeology,War casualties",0.00,0.00,0.00,0.40,12.00
"cultural memory and early civilization : writing, remembrance, and political imagination","""now available to an english-speaking audience, this book presents a groundbreaking theoretical analysis of memory, identity, and culture it investigates how cultures remember, arguing that human memory exists and is communicated in two ways, namely inter-human interaction and in external systems of notation, such as writing, which can span generations dr assmann defines two theoretical concepts of cultural memory, differentiating between the long-term memory of societies, which can span up to 3,000 years, and communicative memory, which is typically restricted to 80-100 years he applies this theoretical framework to case studies of four specific cultures, illustrating the function contexts and specific achievements, including the state, international law, religion, and science ultimately, his research demonstrates that memory is not simply a means of retaining information, but rather a force that can shape cultural identity and allow cultures to respond creatively to both daily challenges and catastrophic changes""-- provided by publisher","civilization, ancient; memory; collective memory; group identity; interpersonal communication; written communication; politics and culture","Anthropology,Historiography,Cultural identity,Social Memory,Social Change,Oral Tradition,Memory,Civilization,Cultural Identity","Anthropology,Historiography,Cultural awareness,Memory in adolescence,Social change,Oral tradition,Memory,Civilization,Cultural awareness",0.25,0.25,0.48,0.63,8.00
even more tales for the midnight hour : 13 stories of horror,a collection of horror stories to keep you awake and shivering with fear,short stories,"Supernatural fiction,Gothic fiction,Horror fiction,Short stories,American fiction,Macabre,Psychological horror,Supernatural,Dark fantasy,Horror,Fiction,Paranormal fiction,Horror stories,Ghost stories","Supernatural,Gothic fiction (Literary genre),Horror films,Short stories,American fiction,Macumba,Psychological abuse,Supernatural,Fantasy,Horror,Fiction,Paranormal fiction,Stories,Ghost stories",1.00,0.07,0.33,0.40,14.00
tracing your ancestors' childhood : a guide for family historians,"a detailed, yet accessible introduction for anyone researching the life of an ancestor in the united kingdom wilkes explore the history of childhood and education and brings together information about relevant records and archives she reviews basic family history sources, then discusses records of childhood in detail, focusing primarily on england and wales in the years 1750-1950",genealogy,"Education,Family History,Local History,Childhood,Genealogy,Wales,Archives,England","Education,Family histories,Local history,Childhood,Genealogy,Wales,Archives,England",1.00,0.12,0.39,0.50,8.00
the touch of civilization : comparing american and russian internal colonization,"""a critical, comparative examination of internal colonization exercised by the united states and russia and experienced by two indigenous populations, the sioux and the kazakhs, to negate the tendency to isolate the study of american history, to overemphasize the uniqueness of the american development and to exalt national pride""--provided by publisher",comparative civilization; imperialism; collective memory; collective memory; dakota indians; kazakhs,"Colonialism,National identity,Ethnic relations,Cultural assimilation,Internal colonization,Kazakhs,Native Americans,Sioux,Nationalism,Power (Social sciences),Russia,Historical sociology,Indigenous peoples,Imperialism,Colonization,United States","Colonial influence,Identity,Ethnic relations,Cultural assimilation,Colonization,Kazakhs,Native American . . .,Urban Dakota Indians,Nationalism,Power (Social sciences),Russia,Historical sociology,Indigenous peoples,Imperialism,Colonization,United States",0.40,0.12,0.41,0.61,16.00
ice lake,"gone cold: ""ice lake is the ideal romantic getaway for morgan sinclair and her new husband, tom cooper--until tom's past catches up with him snowed in with a man who isn't what he seems and a killer out for revenge, morgan must unravel the truth before it's too late but can she trust the man she married?""--publisher cold heat: ""leah gray has never forgotten alex mccade, her ex-lover and new supervisor when a blizzard strands the wounded fbi agent and her boss together at a remote montana lodge, their passion reignites--hotter than ever but danger has stalked leah to the resort, and now keeping her safe is alex's only mission""--publisher stone cold: ""wounded war hero daniel stone just wants to escape to the solitude of his rocky mountain home but deputy sheriff kylie webber needs his help tracking down a killer at the snowed-in ice lake resort secretly in love with daniel since she was a girl, kylie vows to heal his heart by turning stone-cold danger into red-hot love!""--publisher",resorts; man-woman relationships,"Resorts,Revenge,Law enforcement,Romance fiction,FBI agents,Romance,Small towns,Montana,Romantic suspense fiction,Marriage,Snowstorms","Resorts,Revenge,Law enforcement,Romance fiction,Bureaucrats,Romance,New towns,Montana,Romance fiction,Marriage,Winter storms",0.50,0.09,0.39,0.37,11.00
the life of a knight,"describes the duties and privileges of a medieval knight in warfare and in service to a lord, and explores aspects of daily life such as clothing, apprenticeship, heraldry, and obedience to the chivalric code","knights and knighthood; civilization, medieval","Chivalry,Knights and knighthood,Medieval history,Heraldry,Armor,Medieval warfare,Nobility,Knights,Aristocracy","Chivalry,Knights and knighthood,Middle Ages,Heraldry,Armor,Military history, Medieval,Nobility,Knights and knighthood,Aristocracy (Social class)",0.33,0.11,1.00,0.62,9.00
origin story : a big history of everything,"""most historians study the smallest slivers of time, emphasizing specific dates, individuals, and documents but what would it look like to study the whole of history, from the big bang through the present day--and even into the remote future? how would looking at the full span of time change the way we perceive the universe, the earth, and our very existence? these were the questions david christian set out to answer when he began to explore the idea of ""big history,"" the most exciting new approach to understanding where we have been, where we are, and where we are going in origin story, christian takes readers on a wild ride through the entire 138 billion years we've come to know as ""history"" by focusing on defining events (thresholds), major trends, and profound questions about our origins, christian exposes the hidden threads that tie everything together--from the creation of the planet to the advent of agriculture, nuclear war, and beyond with stunning insights into the origin of the universe, the beginning of life, the emergence of humans, and what the future might bring, origin story boldly reframes our place in the cosmos""-- jacket",civilization; cosmology; world history; human evolution; biocomplexity,"Human evolution,Universe,Big Bang theory,Time (Philosophy),Origin of the universe,Ancient,Evolution,Cosmology,History of the universe,History","Human evolution,Universe,Big bang theory,First philosophy,Cosmological distances,History, Ancient,Evolution,Cosmology,Chronology,History",0.40,0.20,0.62,0.72,10.00
trace your german roots online : a complete guide to german genealogy websites,"explore your germanic heritage from the comfort of your own computer! trace your german roots online highlights important german resources on popular genealogy websites including ancestrycom and familsearchorg, as well as lesser known resources such as archionde with helpful illustrated step by step instructions, you'll learn how to use each site to its fullest potential for german genealogy, including how to get around language barriers and navigate the various german states that have existed throughout the centuries in addition, this book contains links to the best websites to consult when answering key german genealogy questions, from unpuzzling place names to locating living relatives in the old country the book features trips to find and use german databases, records, and research tools on ancestrycom, familysearchorg and other popular genealogy websites guidance for helpful german-focused research websites, including how to translate using foreign language sites recommended websites for accomplishing key german research tasks, worksheets to log research progress and at a glance guides to help you identify important terms and resources",genealogy,"European genealogy,Family trees,German Americans,Genealogy research,Germans,Ancestry research,Online resources,Germanic peoples,Genealogy,Family records","European elder,Shorter family,German Americans,Genealogy,Germans,Interviewing in genealogy,Information resources,Germanic peoples,Genealogy,Family records",1.00,0.10,0.32,0.58,10.00
archaeological variability and interpretation in global perspective,"""contributors illustrate the virtues of various ecological, experimental, statistical, and cognitive/social approaches for understanding the origins, formation histories, and inferential potential of a wide range of archaeological phenomena""--provided by publisher",archaeology,"Human evolution,Archaeological theory,Artifact analysis,Cultural evolution,Anthropological theory,Archaeological research,Methodology,Paleoanthropology,Cultural material studies,Archaeological interpretation,Ethnographic methods,Material culture,Archaeological methods,Archaeology,Cultural anthropology","Human evolution,Archaeological significance,Work sampling,Cultural relations,Anthropological aspects,Archaeology and history,Methodology,Paleoanthropology,Material culture,Archaeological significance,Communication in ethnology,Material culture,Archaeological integrity,Archaeology,Anthropology",1.00,0.07,0.30,0.54,15.00
